,time,lat,lon,PRECIP
37589,1996-01-11,11.4337,36.846,0.0
37327,1996-01-11,11.6027,37.322,0.0
40198,1996-01-11,11.68878,37.312433,0.0
37869,1996-01-11,11.8666,37.9954,0.0
38412,1996-01-11,12.52115,37.4319,0.0
40469,1996-01-12,10.1125,38.1567,0.0
42365,1996-01-12,10.8571,37.10345,0.0
41826,1996-01-12,10.9954,36.9193,0.0
40729,1996-01-12,11.2745,37.49312,0.0
41268,1996-01-12,11.4337,36.846,0.0
41006,1996-01-12,11.6027,37.322,0.0
43877,1996-01-12,11.68878,37.312433,0.0
41548,1996-01-12,11.8666,37.9954,0.0
42091,1996-01-12,12.52115,37.4319,0.0
44148,1996-01-13,10.1125,38.1567,0.0
46044,1996-01-13,10.8571,37.10345,0.0
45505,1996-01-13,10.9954,36.9193,0.0
44408,1996-01-13,11.2745,37.49312,0.0
44947,1996-01-13,11.4337,36.846,0.0
44685,1996-01-13,11.6027,37.322,0.0
47556,1996-01-13,11.68878,37.312433,0.0
45227,1996-01-13,11.8666,37.9954,0.0
45770,1996-01-13,12.52115,37.4319,0.0
47827,1996-01-14,10.1125,38.1567,0.0
49723,1996-01-14,10.8571,37.10345,0.0
49184,1996-01-14,10.9954,36.9193,0.0
48087,1996-01-14,11.2745,37.49312,0.0
48626,1996-01-14,11.4337,36.846,0.0
48364,1996-01-14,11.6027,37.322,0.0
51235,1996-01-14,11.68878,37.312433,0.0
48906,1996-01-14,11.8666,37.9954,0.0
49449,1996-01-14,12.52115,37.4319,0.0
51506,1996-01-15,10.1125,38.1567,0.0
53402,1996-01-15,10.8571,37.10345,0.0
52863,1996-01-15,10.9954,36.9193,0.0
51766,1996-01-15,11.2745,37.49312,0.0
52305,1996-01-15,11.4337,36.846,0.0
52043,1996-01-15,11.6027,37.322,0.0
54914,1996-01-15,11.68878,37.312433,0.0
52585,1996-01-15,11.8666,37.9954,0.0
